Status,Project name,Owner,Dates,Priority,Completion,Blocked By
Done,Anxiety,,,Low,,
Done,Vit D,,,Low,,
Planning,OCD,Bashar H. Al-Azawi,,,,الصحة النفسية (فيديو) (https://www.notion.so/76ac29cfb0f64eb2a5ac82afc4238e67?pvs=21)
Planning,Toxoplasmosis,مصطفى احمد,,,,
Planning,الصحة النفسية (فيديو),,,,0.5,Toxoplasmosis (https://www.notion.so/Toxoplasmosis-f87d7c313b23416bb346285747aba17a?pvs=21)
Planning,"غسيل الفراخ ",,,,,
Planning,القهوة (فيديو ),,,,,
Done," البلاستيك (الماتريالز عموما)",,,Low,,
Planning,حلل المطبخ,,,,,
Planning,الميكاب الرخيص,,,,,
Planning,"Anhedonia ",,,,,
Planning," متلازمة توريت",,,,,
Done,PCO,,,,,
Planning," Acne",,,,,
Planning," البهاق",,,,,
Planning," خرافات",,,,,
Planning,"Overthinking ",,,,,
Planning," لدغات كائنات مختلفة",,,,,
Planning,DM فيديو,,,,,
Done,Omega 3,,,Low,,
Done,الفايبروميالجيا,,,Low,,
Done,الحديد,,,Low,,
Done,تسمم المياه,,,Low,,
Done,تسمم غاز أول أكسيد الكربون,,,Low,,
Done,الروماتيزم,,,Low,,
Done,الحمي الروماتيزمية,,,Low,,
Done,التهاب المفاصل الروماتويدي,,,Low,,
Done,ADHD,,,Low,,
Done,المضاد الحيوي,,,Low,,
Done,مرض السكري,,,Low,,
Done,الزهايمر,,,Low,,
Done,كبار السن,,,Low,,
Done,هيربس الأطفال,,,Low,,
Done,ضربة الشمس,,,Low,,
Done,زيادة الوزن رغم قلة الأكل,,,Low,,
Done,تصلب الشرايين,,,Low,,
Done,جرثومة المعدة,,,Low,1,
Done,Thalassemia,,,Low,,
Done,SLE,,,Low,,
Done,أطعمة ممنوعة للأطفال أقل من عام,,,Low,,
Done,جلطة المخ,,,,,
Done,التبرع بالدم,,,Low,,
Done,نصائح رمضانية,,,Low,,
Done,التوحد,,,Low,,
Done,متلازمة داون,,,Low,,
Done,سرطان الثدي,,,Low,,
Done,New Project,,,,,
