Status,Project name,Owner,Dates,Priority,Completion,Blocked By,Tasks,Is Blocking,Summary
Done,Anxiety,,,Low,,,,,
Done,Vit D,,,Low,,,,,
Planning,OCD,Bashar H. Al-Azawi,,,,الصحة النفسية (فيديو) (https://www.notion.so/76ac29cfb0f64eb2a5ac82afc4238e67?pvs=21),"Review research results (https://www.notion.so/Review-research-results-4451c479fc774255bf369ab628bcda49?pvs=21), Build data dashboards (https://www.notion.so/Build-data-dashboards-33e23474a0584c8dbcca424a8be888c3?pvs=21)",,"The user education team is planning a project to redesign the onboarding flow for their app, with the goal of increasing 7 day retention by 25%. The current onboarding process is overwhelming for many users, and the team aims to create a more effective user journey. The project is scheduled to take place from May 8, 2023 to June 4, 2023."
Planning,Toxoplasmosis,مصطفى احمد,,,,,"Invite team members (https://www.notion.so/Invite-team-members-bcc1b52177794e9d9cf251c6857dd085?pvs=21), Add a new task (https://www.notion.so/Add-a-new-task-331272e3ba764093b7314cc4b84863c9?pvs=21)",الصحة النفسية (فيديو) (https://www.notion.so/76ac29cfb0f64eb2a5ac82afc4238e67?pvs=21),"This document introduces projects and tasks in Notion, including four core concepts: projects, tasks, properties, and views. Each has its own page and can be labeled using properties. Views allow for custom layouts and filters. For more customization options, visit the Notion help center."
Planning,الصحة النفسية (فيديو),,,,0.5,Toxoplasmosis (https://www.notion.so/Toxoplasmosis-f87d7c313b23416bb346285747aba17a?pvs=21),"Write project proposal (https://www.notion.so/Write-project-proposal-7a16ed57e8ae44f2b45e3dd5bf2e7346?pvs=21), Schedule kick-off meeting (https://www.notion.so/Schedule-kick-off-meeting-595e2a3fa78a4c1fa898dc804d3668d0?pvs=21)",OCD (https://www.notion.so/OCD-e5dfac429e5f43eebec2ba8809df83d0?pvs=21),"The mobile team is prioritizing performance and investing in more native components across iOS and Android. Last year, the team successfully reduced page load times by 50%, leading to increased mobile usage and positive app store reviews. The project is currently in the planning stage, with performance dashboards and project tasks to be developed."
Planning,"غسيل الفراخ ",,,,,,,,
Planning,القهوة (فيديو ),,,,,,,,
Done," البلاستيك (الماتريالز عموما)",,,Low,,,,,
Planning,حلل المطبخ,,,,,,,,
Planning,الميكاب الرخيص,,,,,,,,
Planning,"Anhedonia ",,,,,,,,
Planning," متلازمة توريت",,,,,,,,
Done,PCO,,,,,,,,
Planning," Acne",,,,,,,,
Planning," البهاق",,,,,,,,
Planning," خرافات",,,,,,,,
Planning,"Overthinking ",,,,,,,,
Planning," لدغات كائنات مختلفة",,,,,,,,
Planning,DM فيديو,,,,,,,,
Done,Omega 3,,,Low,,,,,
Done,الفايبروميالجيا,,,Low,,,,,
Done,الحديد,,,Low,,,,,
Done,تسمم المياه,,,Low,,,,,
Done,تسمم غاز أول أكسيد الكربون,,,Low,,,,,
Done,الروماتيزم,,,Low,,,,,
Done,الحمي الروماتيزمية,,,Low,,,,,
Done,التهاب المفاصل الروماتويدي,,,Low,,,,,
Done,ADHD,,,Low,,,,,
Done,المضاد الحيوي,,,Low,,,,,
Done,مرض السكري,,,Low,,,,,
Done,الزهايمر,,,Low,,,,,
Done,كبار السن,,,Low,,,,,
Done,هيربس الأطفال,,,Low,,,,,
Done,ضربة الشمس,,,Low,,,,,
Done,زيادة الوزن رغم قلة الأكل,,,Low,,,,,
Done,تصلب الشرايين,,,Low,,,,,
Done,جرثومة المعدة,,,Low,1,,Task (https://www.notion.so/Task-62a3a1d3455b417aaf08db60f842074d?pvs=21),,
Done,Thalassemia,,,Low,,,,,
Done,SLE,,,Low,,,,,
Done,أطعمة ممنوعة للأطفال أقل من عام,,,Low,,,,,
Done,جلطة المخ,,,,,,,,
Done,التبرع بالدم,,,Low,,,,,
Done,نصائح رمضانية,,,Low,,,,,
Done,التوحد,,,Low,,,,,
Done,متلازمة داون,,,Low,,,,,
Done,سرطان الثدي,,,Low,,,,,
Done,New Project,,,,,,,,
